缺失TaxID且未下载	1509	Reaumuria soongarica	-	diploid	-	Caryophyllales	Tamaricaceae	Reaumuria
缺失TaxID且未下载	1511	Reticulofenestra parvula	-	-	RCC4036	-	-	Reticulofenestra
缺失TaxID且未下载	1512	Reynoutria multiflora	-	diploid	-	Caryophyllales	Polygonaceae	Reynoutria
缺失TaxID且未下载	1527	Rhododendron championae	-	hexaploid	-	Ericales	Ericaceae	Rhododendron
缺失TaxID且未下载	1540	Rhododendron ripense	-	-	Hi-Oni1	Ericales	Ericaceae	Rhododendron
缺失TaxID且未下载	1544	Rhododendronneriiflorum	-	hexaploid	-	Ericales	Ericaceae	Rhododendron
缺失TaxID且未下载	1545	Rhododendron x pulchrum	-	-	haplotype 1	Ericales	Ericaceae	Rhododendron 
缺失TaxID且未下载	1546	Rhododendron x pulchrum	-	-	haplotype 2	Ericales	Ericaceae	Rhododendron
缺失TaxID且未下载	1549	Rhus chinensis Mill	-	diploid	Nutgall tree; Chinese sumac	Sapindales	Anacardiaceae	Rhus chinensis
缺失TaxID且未下载	1559	Rosa gigantea	-	-	RG	Rosales	Rosaceae	Rosa
缺失TaxID且未下载	1560	Rosa hybrida	-	tetraploid	Modern rose	Rosales	Rosaceae	Rosa
缺失TaxID且未下载	1565	Rosa wichuraiana	-	diploid	Basye's Thornless	Rosales	Rosaceae	Rosa
缺失TaxID且未下载	1568	Rose chinensis	-	diploid	-	Rosales	Rosaceae	Rose
缺失TaxID且未下载	1569	Rosmarinus officinalis	-	-	-	Lamiales	Lamiaceae	Rosmarinus
缺失TaxID且未下载	1576	Rubus rosaefolius	-	-	-	Rosales	Rosaceae	Rubus
缺失TaxID且未下载	1580	Saccharum spp.	-	-	-	Poales	Poaceae	Saccharum
缺失TaxID且未下载	1581	Saccharum x sp.	-	-	KK3	Poales	Poaceae	Saccharum
缺失TaxID且未下载	1607	Sambucus nigra Linnaeus	-	diploid	elderberry; European elder	Dipsacales	Adoxaceae	Sambucus
缺失TaxID且未下载	1611	Santalum. album	-	-	-	Santalales	Santalaceae	Santalum.
缺失TaxID且未下载	1615	Sauropus androgynus	-	diploid	-	Malpighiales	Phyllanthaceae	Sauropus
缺失TaxID且未下载	1616	Sauropus spatulifolius	-	-	-	Malpighiales	Phyllanthaceae	Sauropus
缺失TaxID且未下载	1620	Scaevola sericea	-	-	-	Asterales	Goodeniaceae	Scaevola
缺失TaxID且未下载	1624	Scenedesmus sellowii	-	-	-	Malpighiales	Scenedesmaceae	Scenedesmus
缺失TaxID且未下载	1625	Scenedesmus silvestris	-	-	-	Malpighiales	Scenedesmaceae	Scenedesmus
缺失TaxID且未下载	1637	Sechium edule	-	diploid	-	Cucurbitales	Cucurbitaceae	Sechium
缺失TaxID且未下载	1661	Shorea henryana	-	-	-	Malvales	Dipterocarpaceae	Shorea
缺失TaxID且未下载	1662	Shorea leprosula	-	-	-	Caryophyllales	Caryophyllaceae	Shorea
缺失TaxID且未下载	1664	Shorea roxburghii	-	diploid	-	Caryophyllales	Caryophyllaceae	Shorea
缺失TaxID且未下载	1668	Silk	-	triploid	Bananas	Zingiberales	Musaceae	Silk
缺失TaxID且未下载	1672	Sinapis arvensis	-	-	-	Gentianales	Gentianaceae	Sinapis
缺失TaxID且未下载	1675	Sinoswer tia tetraptera	-	-	variety Qingpiguo	Cucurbitales	Cucurbitaceae	Sinoswer tia
缺失TaxID且未下载	1682	Solanum andigena	-	diploid	nos. 670、716	Solanales	Solanaceae	Solanum
缺失TaxID且未下载	1688	Solanum brevicaule × Solanum tuberosum	-	diploid	-	Solanales	Solanaceae	Solanum
缺失TaxID且未下载	1701	Solanum commersonii × Solanum andigena	-	diploid	-	Solanales	Solanaceae	Solanum
缺失TaxID且未下载	1738	Solanum tarnii × Solanum tuberosum	-	diploid	-	Solanales	Solanaceae	Solanum
缺失TaxID且未下载	1748	Sophora japonica	-	diploid	-	Fabales	Fabaceae	Sophora
缺失TaxID且未下载	1749	Sophora koreensis	-	-	-	Rosales	Rosaceae	Sophora
缺失TaxID且未下载	1751	Sorbus pohuashanensis	-	diploid	update BTx623	Poales	Poaceae	Sorbus
缺失TaxID且未下载	1755	Soybean	-	tetraploid	Soybean	Fabales	Fabaceae	Soybean
缺失TaxID且未下载	1757	Spartina alterniflora	-	diploid	cordgrass	Poales	Poaceae	Spartina
缺失TaxID且未下载	1764	Spinacia turkestanica	-	diploid	-	Caryophyllales	Amaranthaceae	Spinacia
缺失TaxID且未下载	1767	Spinacia turkestanica	-	diploid	-	Caryophyllales	Amaranthaceae	Spinacia
缺失TaxID且未下载	1773	Sporobolus pyramidalis	-	diploid	-	Malvales	Thymelaeaceae	Sporobolus
缺失TaxID且未下载	1778	Stephania cepharantha	-	-	-	Ranunculales	Menispermaceae	Stephania
缺失TaxID且未下载	1793	Sugarcane R570	-	diploid	Sugarcane;	Poales	Poaceae	Sugarcane
缺失TaxID且未下载	1794	Sugarcane ZZ1	-	haploid	Sugarcane	Poales	Poaceae	Sugarcane
缺失TaxID且未下载	1796	Symbiochloris irregularis (SymirrSAG2036)	-	-	-	Trebouxiales	-	Symbiochloris
缺失TaxID且未下载	1826	Taxus yunnanensis	-	diploid	HCNGB_00001711	Lamiales	Lamiaceae	Taxus
缺失TaxID且未下载	1832	Tetradesmus acuminatus	-	tetraploid	-	Zygophyllales	Zygophyllaceae	Tetradesmus
缺失TaxID且未下载	1842	Thellungiella parvula	-	-	-	Brassicales	Brassicaceae	Thellungiella
缺失TaxID且未下载	1843	Thellungiella salsuginea	-	-	TtPh16-4	Poales	Poaceae	Thellungiella
缺失TaxID且未下载	1857	Tinospora sagittata	-	tetraploid	-	Ranunculales	Menispermaceae	Tinospora
缺失TaxID且未下载	1865	Toxicodendron succedaneum 'Japan'	-	diploid	-	Sapindales	Anacardiaceae	Toxicodendron
缺失TaxID且未下载	1866	Toxicodendron succedaneum 'Vietnam'	-	diploid	-	Sapindales	Anacardiaceae	Toxicodendron
缺失TaxID且未下载	1868	Toxicodendron vernicifluum 'Dali'	-	diploid	-	Sapindales	Anacardiaceae	Toxicodendron
缺失TaxID且未下载	1872	Trebouxia sp (TrespOTU1)	-	-	-	Trebouxiales	-	Trebouxia
缺失TaxID且未下载	1873	Trebouxia sp (TrespOTU3)	-	-	-	Trebouxiales	-	Trebouxia
缺失TaxID且未下载	1874	Trebouxia sp (TrespOTU5)	-	-	-	Trebouxiales	-	Trebouxia
缺失TaxID且未下载	1875	Trema orientalis	-	-	-	Dioscoreales	Dioscoreaceae	Trema
缺失TaxID且未下载	1892	Tripterygium sp.	-	hexaploid	Chinese Spring	Poales	Poaceae	Tripterygium
